GAME_DATE,Adversary,Adversary Name,WL,Home or Road,Score
2021-10-20,CHI,Chicago Bulls,L,Home,88 - 94
2021-10-23,CHI,Chicago Bulls,L,Road,82 - 97
2021-10-25,ATL,Atlanta Hawks,L,Road,104 - 122
2021-10-28,PHI,Philadelphia 76ers,L,Road,102 - 110
2021-10-30,ORL,Orlando Magic,W,Home,110 - 103
2021-10-31,BKN,Brooklyn Nets,L,Road,91 - 117
2021-11-02,MIL,Milwaukee Bucks,L,Home,89 - 117
2021-11-04,PHI,Philadelphia 76ers,L,Home,98 - 109
2021-11-05,BKN,Brooklyn Nets,L,Home,90 - 96
2021-11-10,HOU,Houston Rockets,W,Road,112 - 104
2021-11-12,CLE,Cleveland Cavaliers,L,Road,78 - 98
2021-11-13,TOR,Toronto Raptors,W,Road,127 - 121
2021-11-15,SAC,Sacramento Kings,L,Home,107 - 129
2021-11-17,IND,Indiana Pacers,W,Home,97 - 89
2021-11-19,GSW,Golden State Warriors,L,Home,102 - 105
2021-11-21,LAL,Los Angeles Lakers,L,Home,116 - 121
2021-11-23,MIA,Miami Heat,L,Home,92 - 100
2021-11-24,MIL,Milwaukee Bucks,L,Road,93 - 114
2021-11-26,LAC,Los Angeles Clippers,L,Road,96 - 107
2021-11-28,LAL,Los Angeles Lakers,L,Road,106 - 110
2021-11-30,POR,Portland Trail Blazers,L,Road,92 - 110
2021-12-02,PHX,Phoenix Suns,L,Road,103 - 114
2021-12-06,OKC,Oklahoma City Thunder,L,Home,103 - 114
2021-12-08,WAS,Washington Wizards,L,Home,116 - 119
2021-12-10,NOP,New Orleans Pelicans,L,Road,93 - 109
2021-12-12,BKN,Brooklyn Nets,L,Home,104 - 116
2021-12-16,IND,Indiana Pacers,L,Road,113 - 122
2021-12-18,HOU,Houston Rockets,L,Home,107 - 116
2021-12-19,MIA,Miami Heat,W,Home,100 - 90
2021-12-21,NYK,New York Knicks,L,Road,91 - 105
2021-12-23,MIA,Miami Heat,L,Road,112 - 115
2021-12-26,SAS,San Antonio Spurs,L,Road,109 - 144
2021-12-29,NYK,New York Knicks,L,Home,85 - 94
2022-01-01,SAS,San Antonio Spurs,W,Home,117 - 116
2022-01-03,MIL,Milwaukee Bucks,W,Road,115 - 106
2022-01-05,CHA,Charlotte Hornets,L,Road,111 - 140
2022-01-06,MEM,Memphis Grizzlies,L,Road,88 - 118
2022-01-08,ORL,Orlando Magic,W,Home,97 - 92
2022-01-10,UTA,Utah Jazz,W,Home,126 - 116
2022-01-11,CHI,Chicago Bulls,L,Road,87 - 133
2022-01-14,TOR,Toronto Raptors,W,Home,103 - 87
2022-01-16,PHX,Phoenix Suns,L,Home,108 - 135
2022-01-18,GSW,Golden State Warriors,L,Road,86 - 102
2022-01-19,SAC,Sacramento Kings,W,Road,133 - 131
2022-01-21,UTA,Utah Jazz,L,Road,101 - 111
2022-01-23,DEN,Denver Nuggets,L,Road,111 - 117
2022-01-25,DEN,Denver Nuggets,L,Home,105 - 110
2022-01-28,ORL,Orlando Magic,L,Road,103 - 119
2022-01-30,CLE,Cleveland Cavaliers,W,Home,115 - 105
2022-02-01,NOP,New Orleans Pelicans,L,Home,101 - 111
2022-02-03,MIN,Minnesota Timberwolves,L,Home,117 - 128
2022-02-04,BOS,Boston Celtics,L,Home,93 - 102
2022-02-06,MIN,Minnesota Timberwolves,L,Road,105 - 118
2022-02-08,DAL,Dallas Mavericks,L,Road,86 - 116
2022-02-10,MEM,Memphis Grizzlies,L,Home,107 - 132
2022-02-11,CHA,Charlotte Hornets,L,Home,119 - 141
2022-02-14,WAS,Washington Wizards,L,Road,94 - 103
2022-02-16,BOS,Boston Celtics,W,Road,112 - 111
2022-02-24,CLE,Cleveland Cavaliers,W,Home,106 - 103
2022-02-26,BOS,Boston Celtics,L,Home,104 - 113
2022-02-27,CHA,Charlotte Hornets,W,Road,127 - 126
2022-03-01,WAS,Washington Wizards,L,Road,113 - 116
2022-03-03,TOR,Toronto Raptors,W,Road,108 - 106
2022-03-04,IND,Indiana Pacers,W,Home,111 - 106
2022-03-07,ATL,Atlanta Hawks,W,Home,113 - 110
2022-03-09,CHI,Chicago Bulls,L,Home,108 - 114
2022-03-11,BOS,Boston Celtics,L,Road,103 - 114
2022-03-13,LAC,Los Angeles Clippers,L,Home,102 - 106
2022-03-15,MIA,Miami Heat,L,Road,98 - 105
2022-03-17,ORL,Orlando Magic,W,Road,134 - 120
2022-03-19,CLE,Cleveland Cavaliers,L,Road,109 - 113
2022-03-21,POR,Portland Trail Blazers,L,Home,115 - 119
2022-03-23,ATL,Atlanta Hawks,W,Home,122 - 101
2022-03-25,WAS,Washington Wizards,L,Home,97 - 100
2022-03-27,NYK,New York Knicks,L,Home,102 - 104
2022-03-29,BKN,Brooklyn Nets,L,Road,123 - 130
2022-03-31,PHI,Philadelphia 76ers,W,Home,102 - 94
2022-04-01,OKC,Oklahoma City Thunder,W,Road,110 - 101
2022-04-03,IND,Indiana Pacers,W,Road,121 - 117
2022-04-06,DAL,Dallas Mavericks,L,Home,113 - 131
2022-04-08,MIL,Milwaukee Bucks,L,Home,101 - 131
2022-04-10,PHI,Philadelphia 76ers,L,Road,106 - 118
2022-10-19,ORL,Orlando Magic,W,Home,113 - 109
2022-10-21,NYK,New York Knicks,L,Road,106 - 130
2022-10-22,IND,Indiana Pacers,L,Road,115 - 124
2022-10-25,WAS,Washington Wizards,L,Road,99 - 120
2022-10-26,ATL,Atlanta Hawks,L,Home,113 - 118
2022-10-28,ATL,Atlanta Hawks,L,Home,112 - 136
2022-10-30,GSW,Golden State Warriors,W,Home,128 - 114
2022-10-31,MIL,Milwaukee Bucks,L,Road,108 - 110
2022-11-02,MIL,Milwaukee Bucks,L,Road,91 - 116
2022-11-04,CLE,Cleveland Cavaliers,L,Home,88 - 112
2022-11-07,OKC,Oklahoma City Thunder,W,Home,112 - 103
2022-11-09,BOS,Boston Celtics,L,Road,112 - 128
2022-11-11,NYK,New York Knicks,L,Road,112 - 121
2022-11-12,BOS,Boston Celtics,L,Home,108 - 117
2022-11-14,TOR,Toronto Raptors,L,Home,111 - 115
2022-11-17,LAC,Los Angeles Clippers,L,Road,91 - 96
2022-11-18,LAL,Los Angeles Lakers,L,Road,121 - 128
2022-11-20,SAC,Sacramento Kings,L,Road,129 - 137
2022-11-22,DEN,Denver Nuggets,W,Road,110 - 108
2022-11-23,UTA,Utah Jazz,W,Road,125 - 116
2022-11-25,PHX,Phoenix Suns,L,Road,102 - 108
2022-11-27,CLE,Cleveland Cavaliers,L,Home,94 - 102
2022-11-29,NYK,New York Knicks,L,Home,110 - 140
2022-12-01,DAL,Dallas Mavericks,W,Home,131 - 125
2022-12-04,MEM,Memphis Grizzlies,L,Home,112 - 122
2022-12-06,MIA,Miami Heat,W,Road,116 - 96
2022-12-07,NOP,New Orleans Pelicans,L,Road,98 - 104
2022-12-09,MEM,Memphis Grizzlies,L,Road,103 - 114
2022-12-11,LAL,Los Angeles Lakers,L,Home,117 - 124
2022-12-14,CHA,Charlotte Hornets,W,Road,141 - 134
2022-12-16,SAC,Sacramento Kings,L,Home,113 - 122
2022-12-18,BKN,Brooklyn Nets,L,Home,121 - 124
2022-12-20,UTA,Utah Jazz,L,Home,111 - 126
2022-12-21,PHI,Philadelphia 76ers,L,Road,93 - 113
2022-12-23,ATL,Atlanta Hawks,L,Road,105 - 130
2022-12-26,LAC,Los Angeles Clippers,L,Home,131 - 142
2022-12-28,ORL,Orlando Magic,W,Home,121 - 101
2022-12-30,CHI,Chicago Bulls,L,Road,118 - 132
2022-12-31,MIN,Minnesota Timberwolves,W,Road,116 - 104
2023-01-02,POR,Portland Trail Blazers,L,Road,106 - 135
2023-01-04,GSW,Golden State Warriors,W,Road,122 - 119
2023-01-06,SAS,San Antonio Spurs,L,Road,109 - 121
2023-01-08,PHI,Philadelphia 76ers,L,Home,111 - 123
2023-01-10,PHI,Philadelphia 76ers,L,Road,116 - 147
2023-01-11,MIN,Minnesota Timberwolves,W,Home,135 - 118
2023-01-13,NOP,New Orleans Pelicans,L,Home,110 - 116
2023-01-15,NYK,New York Knicks,L,Home,104 - 117
2023-01-19,CHI,Chicago Bulls,L,Home,108 - 126
2023-01-23,MIL,Milwaukee Bucks,L,Home,130 - 150
2023-01-26,BKN,Brooklyn Nets,W,Road,130 - 122
2023-01-28,HOU,Houston Rockets,L,Home,114 - 117
2023-01-30,DAL,Dallas Mavericks,L,Road,105 - 111
2023-02-03,CHA,Charlotte Hornets,W,Home,118 - 112
2023-02-04,PHX,Phoenix Suns,L,Home,100 - 116
2023-02-06,BOS,Boston Celtics,L,Home,99 - 111
2023-02-08,CLE,Cleveland Cavaliers,L,Road,85 - 113
2023-02-10,SAS,San Antonio Spurs,W,Home,138 - 131
2023-02-12,TOR,Toronto Raptors,L,Road,118 - 119
2023-02-15,BOS,Boston Celtics,L,Road,109 - 127
2023-02-23,ORL,Orlando Magic,L,Road,106 - 108
2023-02-25,TOR,Toronto Raptors,L,Home,91 - 95
2023-02-27,CHA,Charlotte Hornets,L,Road,106 - 117
2023-03-01,CHI,Chicago Bulls,L,Home,115 - 117
2023-03-04,CLE,Cleveland Cavaliers,L,Road,90 - 114
2023-03-06,POR,Portland Trail Blazers,L,Home,104 - 110
2023-03-07,WAS,Washington Wizards,L,Home,117 - 119
2023-03-09,CHA,Charlotte Hornets,L,Home,103 - 113
2023-03-11,IND,Indiana Pacers,L,Home,115 - 121
2023-03-13,IND,Indiana Pacers,W,Home,117 - 97
2023-03-14,WAS,Washington Wizards,L,Road,97 - 117
2023-03-16,DEN,Denver Nuggets,L,Home,100 - 119
2023-03-19,MIA,Miami Heat,L,Home,100 - 112
2023-03-21,ATL,Atlanta Hawks,L,Road,107 - 129
2023-03-24,TOR,Toronto Raptors,L,Road,97 - 118
2023-03-27,MIL,Milwaukee Bucks,L,Home,117 - 126
2023-03-29,OKC,Oklahoma City Thunder,L,Road,106 - 107
2023-03-31,HOU,Houston Rockets,L,Road,115 - 121
2023-04-02,ORL,Orlando Magic,L,Road,102 - 128
2023-04-04,MIA,Miami Heat,L,Home,105 - 118
2023-04-05,BKN,Brooklyn Nets,L,Home,108 - 123
2023-04-07,IND,Indiana Pacers,W,Road,122 - 115
2023-04-09,CHI,Chicago Bulls,L,Road,81 - 103
2023-10-25,MIA,Miami Heat,L,Road,102 - 103
2023-10-27,CHA,Charlotte Hornets,W,Road,111 - 99
2023-10-28,CHI,Chicago Bulls,W,Home,118 - 102
2023-10-30,OKC,Oklahoma City Thunder,L,Road,112 - 124
2023-11-01,POR,Portland Trail Blazers,L,Home,101 - 110
2023-11-02,NOP,New Orleans Pelicans,L,Road,116 - 125
2023-11-05,PHX,Phoenix Suns,L,Home,106 - 120
2023-11-06,GSW,Golden State Warriors,L,Home,109 - 120
2023-11-08,MIL,Milwaukee Bucks,L,Road,118 - 120
2023-11-10,PHI,Philadelphia 76ers,L,Home,106 - 114
2023-11-12,CHI,Chicago Bulls,L,Road,108 - 119
2023-11-14,ATL,Atlanta Hawks,L,Home,120 - 126
2023-11-17,CLE,Cleveland Cavaliers,L,Road,100 - 108
2023-11-19,TOR,Toronto Raptors,L,Road,113 - 142
2023-11-20,DEN,Denver Nuggets,L,Home,103 - 107
2023-11-24,IND,Indiana Pacers,L,Road,113 - 136
2023-11-27,WAS,Washington Wizards,L,Home,107 - 126
2023-11-29,LAL,Los Angeles Lakers,L,Home,107 - 133
2023-11-30,NYK,New York Knicks,L,Road,112 - 118
2023-12-02,CLE,Cleveland Cavaliers,L,Home,101 - 110
2023-12-06,MEM,Memphis Grizzlies,L,Home,102 - 116
2023-12-08,ORL,Orlando Magic,L,Road,91 - 123
2023-12-11,IND,Indiana Pacers,L,Home,123 - 131
2023-12-13,PHI,Philadelphia 76ers,L,Home,111 - 129
2023-12-15,PHI,Philadelphia 76ers,L,Road,92 - 124
2023-12-16,MIL,Milwaukee Bucks,L,Road,114 - 146
2023-12-18,ATL,Atlanta Hawks,L,Road,124 - 130
2023-12-21,UTA,Utah Jazz,L,Home,111 - 119
2023-12-23,BKN,Brooklyn Nets,L,Road,115 - 126
2023-12-26,BKN,Brooklyn Nets,L,Home,112 - 118
2023-12-28,BOS,Boston Celtics,L,Road,122 - 128
2023-12-30,TOR,Toronto Raptors,W,Home,129 - 127
2024-01-01,HOU,Houston Rockets,L,Road,113 - 136
2024-01-03,UTA,Utah Jazz,L,Road,148 - 154
2024-01-05,GSW,Golden State Warriors,L,Road,109 - 113
2024-01-07,DEN,Denver Nuggets,L,Road,114 - 131
2024-01-09,SAC,Sacramento Kings,L,Home,110 - 131
2024-01-10,SAS,San Antonio Spurs,L,Home,108 - 130
2024-01-12,HOU,Houston Rockets,L,Home,110 - 112
2024-01-15,WAS,Washington Wizards,W,Road,129 - 117
2024-01-17,MIN,Minnesota Timberwolves,L,Home,117 - 124
2024-01-20,MIL,Milwaukee Bucks,L,Home,135 - 141
2024-01-22,MIL,Milwaukee Bucks,L,Home,113 - 122
2024-01-24,CHA,Charlotte Hornets,W,Home,113 - 106
2024-01-27,WAS,Washington Wizards,L,Home,104 - 118
2024-01-28,OKC,Oklahoma City Thunder,W,Home,120 - 104
2024-01-31,CLE,Cleveland Cavaliers,L,Road,121 - 128
2024-02-02,LAC,Los Angeles Clippers,L,Home,125 - 136
2024-02-04,ORL,Orlando Magic,L,Home,99 - 111
2024-02-07,SAC,Sacramento Kings,W,Road,133 - 120
2024-02-08,POR,Portland Trail Blazers,W,Road,128 - 122
2024-02-10,LAC,Los Angeles Clippers,L,Road,106 - 112
2024-02-13,LAL,Los Angeles Lakers,L,Road,111 - 125
2024-02-14,PHX,Phoenix Suns,L,Road,100 - 116
2024-02-22,IND,Indiana Pacers,L,Road,115 - 129
2024-02-24,ORL,Orlando Magic,L,Home,109 - 112
2024-02-26,NYK,New York Knicks,L,Road,111 - 113
2024-02-27,CHI,Chicago Bulls,W,Road,105 - 95
2024-03-01,CLE,Cleveland Cavaliers,L,Home,100 - 110
2024-03-03,ORL,Orlando Magic,L,Road,91 - 113
2024-03-05,MIA,Miami Heat,L,Road,110 - 118
2024-03-07,BKN,Brooklyn Nets,W,Home,118 - 112
2024-03-09,DAL,Dallas Mavericks,L,Home,124 - 142
2024-03-11,CHA,Charlotte Hornets,W,Home,114 - 97
2024-03-13,TOR,Toronto Raptors,W,Home,113 - 104
2024-03-15,MIA,Miami Heat,L,Home,95 - 108
2024-03-17,MIA,Miami Heat,L,Home,101 - 104
2024-03-18,BOS,Boston Celtics,L,Road,94 - 119
2024-03-20,IND,Indiana Pacers,L,Home,103 - 122
2024-03-22,BOS,Boston Celtics,L,Home,102 - 129
2024-03-24,NOP,New Orleans Pelicans,L,Home,101 - 114
2024-03-25,NYK,New York Knicks,L,Road,99 - 124
2024-03-27,MIN,Minnesota Timberwolves,L,Road,91 - 106
2024-03-29,WAS,Washington Wizards,W,Road,96 - 87
2024-04-01,MEM,Memphis Grizzlies,L,Home,108 - 110
2024-04-03,ATL,Atlanta Hawks,L,Road,113 - 121
2024-04-05,MEM,Memphis Grizzlies,L,Road,90 - 108
2024-04-06,BKN,Brooklyn Nets,L,Road,103 - 113
2024-04-09,PHI,Philadelphia 76ers,L,Road,102 - 120
2024-04-11,CHI,Chicago Bulls,L,Home,105 - 127
2024-04-12,DAL,Dallas Mavericks,W,Road,107 - 89
2024-04-14,SAS,San Antonio Spurs,L,Road,95 - 123
2024-10-23,IND,Indiana Pacers,L,Home,109 - 115
2024-10-25,CLE,Cleveland Cavaliers,L,Road,101 - 113
2024-10-26,BOS,Boston Celtics,L,Home,118 - 124
2024-10-28,MIA,Miami Heat,L,Road,98 - 106
2024-10-30,PHI,Philadelphia 76ers,W,Road,105 - 95
2024-11-01,NYK,New York Knicks,L,Home,98 - 128
2024-11-03,BKN,Brooklyn Nets,W,Road,106 - 92
2024-11-04,LAL,Los Angeles Lakers,W,Home,115 - 103
2024-11-06,CHA,Charlotte Hornets,L,Road,107 - 108
2024-11-08,ATL,Atlanta Hawks,W,Home,122 - 121
2024-11-10,HOU,Houston Rockets,L,Home,99 - 101
2024-11-12,MIA,Miami Heat,W,Home,123 - 121
2024-11-13,MIL,Milwaukee Bucks,L,Road,120 - 127
2024-11-15,TOR,Toronto Raptors,W,Road,99 - 95
2024-11-17,WAS,Washington Wizards,W,Road,124 - 104
2024-11-18,CHI,Chicago Bulls,L,Home,112 - 122
2024-11-21,CHA,Charlotte Hornets,L,Road,121 - 123
2024-11-23,ORL,Orlando Magic,L,Road,100 - 111
2024-11-25,TOR,Toronto Raptors,W,Home,102 - 100
2024-11-27,MEM,Memphis Grizzlies,L,Road,111 - 131
2024-11-29,IND,Indiana Pacers,W,Road,130 - 106
2024-11-30,PHI,Philadelphia 76ers,L,Home,96 - 111
2024-12-03,MIL,Milwaukee Bucks,L,Home,107 - 128
2024-12-04,BOS,Boston Celtics,L,Road,120 - 130
2024-12-07,NYK,New York Knicks,W,Road,120 - 111
2024-12-12,BOS,Boston Celtics,L,Road,99 - 123
2024-12-16,MIA,Miami Heat,W,Home,125 - 124
2024-12-19,UTA,Utah Jazz,L,Home,119 - 126
2024-12-21,PHX,Phoenix Suns,W,Road,133 - 125
2024-12-23,LAL,Los Angeles Lakers,W,Road,117 - 114
2024-12-26,SAC,Sacramento Kings,W,Road,114 - 113
